id,audio_id,transcript_verbatim,has_contraction,has_dialect_slang,has_barbarisms,has_propers,transcript_normalized_written,audio_source_link
1,kzaudio_1,біз өзімізге влажение жасаймыз өзімізбен жұмыс жасаймыз деп и вообщем влажениены канешно менен бастадық брэкет салдым,0,0,1,0,біз өзімізге вложение жасаймыз өзімізбен жұмыс жасаймыз деп и вообщем вложениены конечно менен бастадық брекет салдым,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
2,kzaudio_2,алдында кароче мен осы брэкетті тағып шықтым да и менің өзім бір жақын танысымды келістіріп қалдым и андай шыға салып бір тупой сұрақтарды қойд да брэкетіме қарап,1,0,1,0,алдында короче мен осы брекетті тағып шықтым да и менің өзім бір жақын танысымды келістіріп қалдым и андай шыға салып бір тупой сұрақтарды қойды да брекетіме қарап,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
3,kzaudio_3,тұрып қумаш үйтп баспайт шығар енд ол специально солай шы-[false_start] шығарылған ғой енді аузының бәрі,1,0,1,0,тұрып қумаш үйтіп баспайтын шығар енді ол специально солай шығарылған ғой енді аузының бәрі,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
4,kzaudio_4,білмейм пиқылдай ма әлі аэропортқа барып үлгерген жоқпын мен қайдан білемін енді специально пиқылдамайтын қып шығарған шығар,1,0,1,0,білмеймін пиқылдай ма әлі аэропортқа барып үлгерген жоқпын мен қайдан білемін енді специально пиқылдамайтын қылып шығарған шығар,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
5,kzaudio_5,қызық ащущение енді көрген адамға да жалпы өзіме де ыңғайсыз енд дәл қаз сіздер бәріңіз менің брэкеттіма қарап отсыздар,1,0,1,0,қызық ощущение енді көрген адамға да жалпы өзіме де ыңғайсыз енді дәл қазір сіздер бәріңіз менің брекеттіма қарап отырсыздар,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
6,kzaudio_6,сәл жоғары көзімізге қарайып сө-[false_start] сөйлесейік иә ааа воопщем құттықтап қойсаңыздар болад жақында званием өсті қайын әпке деген звание алдым,1,0,1,0,сәл жоғары көзімізге қарайып сөйлесейік иә ааа вообщем құттықтап қойсаңыздар болады жақында званием өсті қайын әпке деген звание алдым,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
7,kzaudio_7,біз алып жатқан келіннің яғни қыздың бір тәтесі тілек айтып жатыр екен айналайын айнұржан барған жеріңе бақытты болам деп емес бақытты қылам деп бар алтыным,1,0,0,1,біз алып жатқан келіннің яғни қыздың бір тәтесі тілек айтып жатыр екен айналайын айнұржан барған жеріңе бақытты боламын деп емес бақытты қыламын деп бар алтыным,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
8,kzaudio_8,ойланып қарасам менің ұзату тойымда да маған да сондай тілек айтқан екен да,0,0,0,0,ойланып қарасам менің ұзату тойымда да маған да сондай тілек айтқан екен да,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
9,kzaudio_9,біз келін боп түсеміз сүйтіп біз келін боп түскен үйдің дастархан басында таңертең тұрып алақай,1,0,0,0,біз келін болып түсеміз сүйтіп біз келін болып түскен үйдің дастарқан басында таңертең тұрып алақай,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
10,kzaudio_10,бәрін бердік сондағысы сен қонақ болдың дейд так стоп мен қонақ боған жоқпын,1,0,1,0,бәрін бердік сондағысы сен қонақ болдың дейді так стоп мен қонақ болған жоқпын,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
11,kzaudio_11,қызың боласың қимайсың өсіріп баптап өсірген гүлім деп,0,0,0,0,қызың боласың қимайсың өсіріп баптап өсірген гүлім деп,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
12,kzaudio_12,тойдағы тілектер өзі андай бірінен кейн бірі кете бередта самый потолок тілек біздің үйлену тойымызда дидардың сестрасы болды,1,0,1,1,тойдағы тілектер өзі андай бірінен кейін бірі кете береді да самый потолок тілек біздің үйлену тойымызда дидардың сестрасы болды,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
13,kzaudio_13,тілектің бәрі дұрыс емес сен бақытты қыл қызым саған аманат,0,0,0,0,тілектің бәрі дұрыс емес сен бақытты қыл қызым саған аманат,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
14,kzaudio_14,менің ойымша ондай нәрсе ондай қорқынышт историялар тек қазақтарда бар сияқты өйткені мен орысшаға аударып көрдім ананы кароче ,1,0,1,0,менің ойымша ондай нәрсе ондай қорқынышты историялар тек қазақтарда бар сияқты өйткені мен орысшаға аударып көрдім ананы короче ,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
15,kzaudio_15,ерік сен есентай мен разияның арқасында көтерілгенсің дейд көбісі айтад барлықтарына бірден жауап берейн,1,0,0,1,ерік сен есентай мен разияның арқасында көтерілгенсің дейді көбісі айтады барлықтарына бірден жауап берейн,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
16,kzaudio_16,былай бастайды ғо сен негізі жақсы жігітсің просто мен саған недостойномын,1,0,1,0,былай бастайды ғой сен негізі жақсы жігітсің просто мен саған недостойномын,"https://www.youtube.com/watch?v=d0R8AHlugCE. ЖАНСАЯ, ДАНИЯР, ЕРІК | Qazaq StandUp | Қазақша стендап. Channel: 
Qazaq Stand Up | INTELLIGENTNO QU"
17,kzaudio_17,мен осы елімнің азаматымын енді қазақта сөз бар шақырған жерден қалма дейд мен барған шара бұл ааа жарым жартылай мемлекеттік деп те айтуға болад жарым жартылай жеке шара бұл сонау тарихына үңілсек ,1,0,0,0,мен осы елімнің азаматымын енді қазақта сөз бар шақырған жерден қалма дейді мен барған шара бұл ааа жарым жартылай мемлекеттік деп те айтуға болады жарым жартылай жеке шара бұл сонау тарихына үңілсек ,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
18,kzaudio_18,биылғы ғатысқанның шарасы ютуб арнасында тұр дональд трамптың бір жарым сағат сөйледі тоқтамастан бір сағат қырық минутқа дейін барды  ,1,0,0,1,биылғы қатысқанның шарасы ютуб арнасында тұр дональд трамптың бір жарым сағат сөйледі тоқтамастан бір сағат қырық минутқа дейін барды  ,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
19,kzaudio_19,мен тек қана бұл шарам емес бұл шарамен қоса мен спорт әлемінің оскарын алдым,0,0,0,0,мен тек қана бұл шарам емес бұл шарамен қоса мен спорт әлемінің оскарын алдым,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
20,kzaudio_20,бүгінгі дейін сіз тиктокқа шығасыз инстаграмға ша-[false_start] шығасыз иә тікелей эфирге сол жұмысыңызды тастамайсыз,0,0,0,1,бүгінгі дейін сіз тиктокқа шығасыз инстаграмға шығасыз иә тікелей эфирге сол жұмысыңызды тастамайсыз,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
21,kzaudio_21,әрбір азамат ұлтына қызмет ету керек деп есептейм ол мм жәй адам бола ма ой шау-[false_start] шаруа адам бола ма әркім өз деңгейінде қызмет жасаса біздің еліміз алға басад,1,0,0,0,әрбір азамат ұлтына қызмет ету керек деп есептеймін ол мм жай адам болады ма ой шаруа адам болады ма әркім өз деңгейінде қызмет жасаса біздің еліміз алға басады,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
22,kzaudio_22,бауырлар бірін бірін түсіне алмай жүрген жастар келед солар азаматтар солардың ортасын біріктіру оларды жарастыру енді психологияның қаншалықты өзінің дүниесі болса да менің негізгі психологиям ол дін болад ,1,0,0,0,бауырлар бірін бірін түсіне алмай жүрген жастар келеді солар азаматтар солардың ортасын біріктіру оларды жарастыру енді психологияның қаншалықты өзінің дүниесі болса да менің негізгі психологиям ол дін болады ,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
23,kzaudio_23,бір ээ оқиға бар бір үлкен патша кісі қайтыс болып бір жиырмаға жете жетпес баласы қалған екен,0,0,0,0,бір ээ оқиға бар бір үлкен патша кісі қайтыс болып бір жиырмаға жете жетпес баласы қалған екен,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
24,kzaudio_24,бұрынғы дипломменен бүгінгі заманауи біздің жеткен дүниеміздегі бар дүниеміз жиырма жылғы бұрынғы д-[false_start] жағдайға келмеуі де мүмкін ,0,0,0,0,бұрынғы дипломменен бүгінгі заманауи біздің жеткен дүниеміздегі бар дүниеміз жиырма жылғы бұрынғы жағдайға келмеуі де мүмкін ,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
25,kzaudio_25,адам үйленсе де тұрмыс құрса да аб-[false_start] интерес бар ғо бір өмірде бір сондықтан әлбетте мм спонсор болғанда рас ол жасырын еме,1,0,1,0,адам үйленсе де тұрмыс құрса да интерес бар ғой бір өмірде бір сондықтан әлбетте мм спонсор болғанда рас ол жасырын емес,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
26,kzaudio_26,ең бірінші жаман ой салад жақсы ой салмайд жаман ой келед сондықтан со жаман ойды жақсы ойға алмастыру ,1,0,0,0,ең бірінші жаман ой салады жақсы ой салмайды жаман ой келеді сондықтан сол жаман ойды жақсы ойға алмастыру ,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
27,kzaudio_27,бірақ мм құстың жаңағы сүтін немесе адамның ойына келмеген нәрселерді емес,0,0,0,0,бірақ мм құстың жаңағы сүтін немесе адамның ойына келмеген нәрселерді емес,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
28,kzaudio_28,берсе алыңыз бірақ кейде былай была қарап тұрып пакетке тығып жіберетіндер бар,1,0,0,0,берсе алыңыз бірақ кейде былай былай қарап тұрып пакетке тығып жіберетіндер бар,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
29,kzaudio_29,алға жүрмеген артқа кетед бәрібір прогресс болу керек адамда бір қадам қосылу керек сол сияқты бір жас қосылды адамға,1,0,0,0,алға жүрмеген артқа кетеді бәрібір прогресс болу керек адамда бір қадам қосылу керек сол сияқты бір жас қосылды адамға,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
30,kzaudio_30,бес алты жеті рет барды ол дұрыс па,0,0,0,0,бес алты жеті рет барды ол дұрыс па,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
31,kzaudio_31,ораза да солай намаз да солай адамды өзгерес алып келсе онда қуану керек,0,0,0,0,ораза да солай намаз да солай адамды өзгерес алып келсе онда қуану керек,"https://www.youtube.com/watch?v=YSH3vmT9T_I/ Алладан не тілеуге болады? Channel: 
DINARA SATZHAN / ДИНАРА САТЖАН"
